indices,bandes,13,14,15,16,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539
/,/,LUBCRE01,LUBCRE02,LUBCRE03,LUBCRE04,LUBCRE_T46,LUBCRE_T47,LUBCRE_T45,LUBCRE_T49,LUBCRE_T43,LUBCRE_T42,LUBCRE_T44,LUBCRE_T59,LUBCRE_T41,LUBBOU_T22,LUBCRE_T60,LUBCRE_T61,VENTUN_T5,VENTUN_T4,VENTUN_T3,VENTUN_T2,VENTUN_T1,VENTUN_T6,VENTUN_T7,VENTUN_T8,VENTUN_T9,VENTUN_T10,VENTUN_T11,VENTUN_T12,VENVEN_T6,VENVEN_T3,VENVEN_T4,VENVEN_T5,VENVEN_T7,VENVEN_T2,VENVEN_T1,VENVEN_T8,VENVEN_T9,VENVEN_T12,VENVEN_T11,VENVEN_T10,LUBBOU_T3,LUBBOU_T2,LUBBOU_T1,LUBBOU_T9,LUBBOU_T7,LUBBOU_T6,LUBBOU_T5,LUBBOU_T4,LUBBOU_T8,LUBBOU_T19,LUBBOU_T20,LUBBOU_T14,LUBBOU_T13,LUBBOU_T12,LUBBOU_T11,LUBBOU_T10,LUBBOU_T16,LUBBOU_T21,LUBBOU_T18,LUBBOU_T17,LUBBOU_T15,LUBCRE_T8,LUBCRE_T9,LUBCRE_T7,LUBCRE_T5,LUBCRE_T4,LUBCRE_T2,LUBCRE_T1,LUBCRE_T6,LUBCRE_T3,LUBCRE_T11,LUBCRE_T10,LUBCRE_T12,LUBCRE_26,LUBCRE_27,LUBCRE_25,LUBCRE_T22,LUBCRE_T21,LUBCRE_T20,LUBCRE_T28,LUBCRE_T19,LUBCRE_T17,LUBCRE_T23,LUBCRE_T16,LUBCRE_T18,LUBCRE_T15,LUBCRE_T14,LUBCRE_T13,LUBCRE_T24,LUBCRE_T31,LUBCRE_T32,LUBCRE_T30,LUBCRE_T29,LUBCRE_T37,LUBCRE_T34,LUBCRE_T35,LUBCRE_T40,LUBCRE_T33,LUBCRE_T39,LUBCRE_T38,LUBCRE_T36,LUBCRE_T50,LUBCRE_T55,LUBCRE_T54,LUBCRE_T53,LUBCRE_T52,LUBCRE_T56,LUBCRE_T57,LUBCRE_T51,LUBCRE_T58,LUBCRE_T48
/,/,biomase,biomase,biomase,biomase,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe
/,/,NA,NA,NA,NA,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,SUB,SUB,SUB,SUB,SUB,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,BOIS,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,BOIS,MEDI,ECOR,ECOR,ECOR,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI
ND,ND_B2_B3,-0.14829396325459315,-0.0,-0.0,-0.0,-0.15009041591320074,-0.10462287104622872,-0.15982404692082117,-0.14645103324348605,-0.08005617977528086,-0.28409090909090906,-0.13721413721413717,-0.11087190527448865,-0.149025069637883,-0.0,-0.0,-0.0,-0.17533718689788055,-0.28450704225352114,-0.15919811320754715,-0.18305084745762715,-0.16287215411558664,-0.1891117478510029,-0.0808151791988756,-0.12565997888067582,-0.1490683229813664,-0.10433190970103716,-0.2619047619047619,-0.18348623853211005,-0.09130752373995621,-0.2021276595744681,-0.10147058823529406,-0.20794392523364488,-0.11325028312570785,-0.12420156139105755,-0.11288180610889774,-0.1451327433628318,-0.08580679978413383,-0.11491712707182321,-0.09841574651944314,-0.08376288659793812,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1510791366906475,-0.0,-0.0,-0.109375,-0.15942028985507253,-0.11515151515151513,-0.06174334140435835,-0.1218568665377176,-0.10852713178294575,-0.08876346844535657,-0.11380145278450361,-0.116504854368932,-0.10797546012269942,-0.2005649717514125,-0.08096740273396423,-0.1397306397306397,-0.09529860228716643,-0.15084915084915082,-0.14075887392900863,-0.111864406779661,-0.11286503551696918
SR,SR_B2_B3,0.7417142857142858,1.0,1.0,1.0,0.7389937106918238,0.8105726872246696,0.7243994943109987,0.7445141065830722,0.8517555266579975,0.5575221238938054,0.7586837294332724,0.8003875968992249,0.7406060606060606,1.0,1.0,1.0,0.701639344262295,0.5570175438596491,0.7253306205493388,0.6905444126074498,0.7198795180722892,0.6819277108433734,0.8504551365409623,0.776735459662289,0.7405405405405406,0.8110497237569062,0.5849056603773585,0.6899224806201552,0.8326639892904952,0.6637168141592921,0.8157543391188252,0.655705996131528,0.7965412004069176,0.779040404040404,0.7971360381861575,0.7465224111282845,0.841948310139165,0.7938553022794846,0.8208041958041957,0.845422116527943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7375,1.0,1.0,0.8028169014084507,0.7249999999999999,0.7934782608695652,0.8836944127708096,0.7827586206896552,0.8041958041958042,0.8369462770970783,0.7956521739130435,0.791304347826087,0.8050941306755259,0.6658823529411764,0.8501945525291829,0.7548005908419498,0.8259860788863109,0.7378472222222223,0.7532188841201716,0.7987804878048781,0.7971631205673759
ND,ND_B2_B4,-0.2505773672055427,-0.0,-0.0,-0.0,-0.13284132841328417,-0.18222222222222226,-0.2695984703632887,-0.2669753086419754,-0.16213623281100095,-0.32439678284182305,-0.2026897214217099,-0.2470373746581586,-0.25442342892007325,-0.0,-0.0,-0.0,-0.2995090016366612,-0.4442013129102845,-0.27614213197969545,-0.25731895223420653,-0.3055690072639225,-0.21497919556171985,-0.2292280494991161,-0.22399250234301782,-0.2689434364994664,-0.22122015915119356,-0.21914357682619645,-0.2521008403361344,-0.22972136222910217,-0.3140243902439025,-0.19710906701708278,-0.32671300893743793,-0.21895261845386538,-0.20540888602704446,-0.2173403632103105,-0.27149321266968324,-0.2275421796625627,-0.24611764705882347,-0.201530612244898,-0.2338362068965518,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.264033264033264,-0.0,-0.0,-0.3001364256480218,-0.21621621621621623,-0.2150537634408602,-0.1455347298787211,-0.2226027397260274,-0.24279835390946503,-0.19051959890610753,-0.232302045097011,-0.25409836065573765,-0.1944598337950139,-0.19027181688125896,-0.17857142857142858,-0.2647482014388489,-0.1853546910755149,-0.24107142857142858,-0.194954128440367,-0.22759433962264147,-0.22960932145305005
SR,SR_B2_B4,0.5992613111726686,1.0,1.0,1.0,0.7654723127035831,0.6917293233082706,0.5753012048192772,0.5785627283800243,0.720968629609246,0.5101214574898786,0.6629392971246006,0.6038011695906433,0.5943579766536965,1.0,1.0,1.0,0.5390428211586902,0.38484848484848483,0.5672235481304694,0.5906862745098038,0.5318991097922848,0.6461187214611872,0.6270373921380632,0.6339969372128638,0.5761143818334735,0.637706342311034,0.640495867768595,0.5973154362416108,0.6263846928499497,0.5220417633410672,0.6706915477497256,0.5074850299401198,0.6407528641571194,0.6591880341880342,0.6429258902791145,0.5729537366548043,0.6292719167904903,0.6049848942598188,0.6645435244161358,0.6209606986899563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5822368421052632,1.0,1.0,0.5383001049317944,0.6444444444444444,0.6460176991150443,0.7459095283926852,0.6358543417366946,0.609271523178808,0.6799387442572742,0.6229787234042554,0.5947712418300655,0.6743970315398886,0.6802884615384616,0.6969696969696969,0.5813424345847553,0.6872586872586872,0.6115107913669064,0.673704414587332,0.6292026897214218,0.6265328874024526
ND,ND_B2_B5,-0.3665202537823329,-0.0,-0.0,-0.0,-0.32761087267525035,-0.24123711340206186,-0.37717391304347836,-0.38788659793814434,-0.2505720823798626,-0.7372262773722628,-0.24750679963735264,-0.3093645484949832,-0.3530968766543144,-0.0,-0.0,-0.0,-0.38328530259365995,-0.7426545086119554,-0.39907290349768226,-0.37766300839251127,-0.4471858134155744,-0.5073977371627502,-0.20389531345100428,-0.38621200889547813,-0.36338289962825276,-0.321626617375231,-0.504,-0.39661016949152544,-0.3368869936034115,-0.4972067039106146,-0.20957309184993528,-0.5072674418604651,-0.32876125160737246,-0.332972972972973,-0.3197556008146639,-0.3139204545454545,-0.3207698476343224,-0.37689614935822635,-0.3463278802645318,-0.35801354401805874,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4253246753246753,-0.0,-0.0,-0.37629179331306994,-0.3973105134474328,-0.3393665158371041,-0.16216216216216217,-0.4223918575063612,-0.40298507462686567,-0.22105263157894733,-0.31588785046728973,-0.34236675700090335,-0.3131790269248938,-0.5302904564315354,-0.31718749999999996,-0.3876572798082685,-0.27371642298537907,-0.5086705202312138,-0.43523732904263884,-0.40400363967242947,-0.3854565336249317
SR,SR_B2_B5,0.4635714285714285,1.0,1.0,1.0,0.5064655172413793,0.6112956810631229,0.45224940805051295,0.44103992571959144,0.5992680695333944,0.15126050420168066,0.6031976744186047,0.5274584929757344,0.4780907668231612,1.0,1.0,1.0,0.4458333333333333,0.14767441860465116,0.4295180722891566,0.4517338331771321,0.3819925412892914,0.32678983833718245,0.6612740141557129,0.4427807486631016,0.46693933197000687,0.5132867132867134,0.32978723404255317,0.43203883495145634,0.49601275917065385,0.33582089552238803,0.653475935828877,0.32690453230472516,0.5051612903225806,0.5004055150040551,0.5154320987654322,0.5221621621621622,0.5142683667273831,0.45254237288135596,0.48552223371251296,0.4727393617021276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4031890660592255,1.0,1.0,0.4531802120141343,0.4313210848643919,0.4932432432432432,0.7209302325581396,0.4060822898032201,0.425531914893617,0.6379310344827587,0.5198863636363636,0.4899057873485868,0.5230215827338129,0.306941431670282,0.5183867141162515,0.44127806563039723,0.5702082221035772,0.3256704980842912,0.3934977578475336,0.42449773169151006,0.4435674822415154
