date,indices,bandes,13,14,15,16,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539
/,/,/,LUBCRE01,LUBCRE02,LUBCRE03,LUBCRE04,LUBCRE_T46,LUBCRE_T47,LUBCRE_T45,LUBCRE_T49,LUBCRE_T43,LUBCRE_T42,LUBCRE_T44,LUBCRE_T59,LUBCRE_T41,LUBBOU_T22,LUBCRE_T60,LUBCRE_T61,VENTUN_T5,VENTUN_T4,VENTUN_T3,VENTUN_T2,VENTUN_T1,VENTUN_T6,VENTUN_T7,VENTUN_T8,VENTUN_T9,VENTUN_T10,VENTUN_T11,VENTUN_T12,VENVEN_T6,VENVEN_T3,VENVEN_T4,VENVEN_T5,VENVEN_T7,VENVEN_T2,VENVEN_T1,VENVEN_T8,VENVEN_T9,VENVEN_T12,VENVEN_T11,VENVEN_T10,LUBBOU_T3,LUBBOU_T2,LUBBOU_T1,LUBBOU_T9,LUBBOU_T7,LUBBOU_T6,LUBBOU_T5,LUBBOU_T4,LUBBOU_T8,LUBBOU_T19,LUBBOU_T20,LUBBOU_T14,LUBBOU_T13,LUBBOU_T12,LUBBOU_T11,LUBBOU_T10,LUBBOU_T16,LUBBOU_T21,LUBBOU_T18,LUBBOU_T17,LUBBOU_T15,LUBCRE_T8,LUBCRE_T9,LUBCRE_T7,LUBCRE_T5,LUBCRE_T4,LUBCRE_T2,LUBCRE_T1,LUBCRE_T6,LUBCRE_T3,LUBCRE_T11,LUBCRE_T10,LUBCRE_T12,LUBCRE_26,LUBCRE_27,LUBCRE_25,LUBCRE_T22,LUBCRE_T21,LUBCRE_T20,LUBCRE_T28,LUBCRE_T19,LUBCRE_T17,LUBCRE_T23,LUBCRE_T16,LUBCRE_T18,LUBCRE_T15,LUBCRE_T14,LUBCRE_T13,LUBCRE_T24,LUBCRE_T31,LUBCRE_T32,LUBCRE_T30,LUBCRE_T29,LUBCRE_T37,LUBCRE_T34,LUBCRE_T35,LUBCRE_T40,LUBCRE_T33,LUBCRE_T39,LUBCRE_T38,LUBCRE_T36,LUBCRE_T50,LUBCRE_T55,LUBCRE_T54,LUBCRE_T53,LUBCRE_T52,LUBCRE_T56,LUBCRE_T57,LUBCRE_T51,LUBCRE_T58,LUBCRE_T48
/,/,/,biomase,biomase,biomase,biomase,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe
/,/,/,NA,NA,NA,NA,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,SUB,SUB,SUB,SUB,SUB,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,BOIS,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,BOIS,MEDI,ECOR,ECOR,ECOR,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI
20200429,indclass,indclass_NDVI,0.5590594744121715,0.46998123827392124,0.7713402858246426,0.4802748791040977,0.614258434118396,0.3573519477595136,0.5283254304966309,0.6649543378995433,0.40682883284981036,0.6590669940371799,0.6135265700483092,0.4821262045383899,0.5830198817839871,0.34960730205901086,0.3830950378469302,0.6287352852399638,,,,,,,,,,,,,,,,,,,,,,,,,0.39487613804785093,0.5327970297029704,0.5043695380774031,0.6033844526705446,0.5115976022934584,0.4432199329180643,0.5291055371509702,0.44132426840082767,0.4959699086512628,0.41337811363000276,0.5211864406779662,0.6480317565332451,0.30260438197602313,0.5061728395061728,0.44095808383233537,0.38926722963770094,0.4650142008778725,0.6426825957100191,0.648854961832061,0.6255909234163253,0.3803853647975752,0.3393548387096774,0.5782903663500679,0.6058902275769745,0.44739168877099916,0.443051480394772,0.6341998120889446,0.3696017947279865,0.4751650875681884,0.39579180509413064,0.6079499047100463,0.5268357810413885,0.6003818008272351,0.41967680608365027,0.5391165513571048,0.5279106858054227,0.5031055900621119,0.4,0.41909246575342474,0.5962496337532961,0.5531628532974427,0.465546218487395,0.46797568957456753,0.473331471655962,0.4385775862068965,0.5001279099513942,0.4184120798830979,0.5623165198825727,0.581119099718662,0.5776198119697317,0.5655108929119362,0.6622247972190034,0.496594933260692,0.5144719687092568,0.5766676292232168,0.4400821144470105,0.5234297108673978,0.5435348568122649,0.6689098250336474,0.39260467645459485,0.5213592233009708,0.5941002949852507,0.46920152091254747,0.6204181373879988,0.6086130462317922,0.5639586410635155,0.3613186813186813,0.5928008998875139,0.5045402951191827,0.4960669880740929,0.5413347981323812
20200429,indclass,indclass_NDI45,0.23732057416267946,0.18411552346570398,0.38716356107660455,0.1854806541683287,0.1957531519575315,0.08261009321761492,0.1811091854419411,0.36609071274298055,0.1950333131435494,0.44897959183673464,0.20792079207920794,0.09701897018970189,0.24733268671193012,0.05665024630541872,0.10576043889058216,0.22053231939163498,,,,,,,,,,,,,,,,,,,,,,,,,0.09955891619407684,0.23929471032745592,-0.025177533892834093,0.251497005988024,0.17299205648720206,0.19137091162143352,0.18542775276299633,0.18181818181818185,0.18292682926829273,0.13495666529096165,0.22910744741330302,0.3432098765432099,0.10098587796429528,0.16230366492146597,0.13810930576070898,0.06855006231823842,0.16787148594377513,0.24324324324324326,0.2717678100263852,0.30647985989492116,0.13508612873980053,0.09155429382540806,0.26698113207547164,0.24279835390946503,0.1633199464524766,0.16009654062751405,0.260759493670886,0.09464357631896897,0.20279110335804623,0.14643304130162707,0.2675483214649034,0.22178304787000439,0.2899943470887507,0.13771186440677963,0.2278198840838163,0.21554770318021202,0.22501100836635846,0.1305182341650672,0.1247984521122219,0.25108695652173907,0.14871794871794872,0.23557692307692307,0.1865618298784847,0.14930085701398293,0.18274509803921563,0.20277437780497762,0.11849390919158356,0.21793037672866,0.278794402583423,0.2923549750288129,0.2674599068804966,0.32444959443800697,0.16228467815049868,0.20085836909871244,0.2764067127344521,0.15947611710323573,0.15285777580859541,0.22684958353748166,0.34180602006688965,0.09223892726533929,0.1759297952361053,0.19953461314717857,0.1749408983451537,0.2591414944356121,0.23277467411545624,0.2442396313364055,0.1364041604754829,0.3094897472579876,0.19054242002781632,0.22452167122217884,0.2118924020764511
20200429,indclass,indclass_GNDVI,0.5751816657350475,0.4796978281397544,0.689134438305709,0.4958847736625514,0.607606973058637,0.39958207569073606,0.5433467741935484,0.6461625282167043,0.42527696133845805,0.6492329149232914,0.6140835346910597,0.5622542595019658,0.5872844827586207,0.39094290089695916,0.41098241098241095,0.6112272320095551,,,,,,,,,,,,,,,,,,,,,,,,,0.4110087813236239,0.535171986365045,0.5419065898912349,0.607209117413199,0.5446071904127828,0.4674786845310597,0.5415076335877862,0.4740024183796856,0.5167529283573957,0.43547470153496304,0.54519368723099,0.6045088566827697,0.3448570209133589,0.5150574355790127,0.45736434108527135,0.4147018030513177,0.49276506182583535,0.6232895089884626,0.6184826724945364,0.6225228059138094,0.40533392109323335,0.46238377007607784,0.5757247358439448,0.5863528167151547,0.47477477477477487,0.46652209270805106,0.6104938271604939,0.4010327022375214,0.5210183540556543,0.42902494331065755,0.6044553110567781,0.5462412114656571,0.593789607097592,0.4475405863823601,0.5317796610169491,0.5430872483221476,0.5043797682961288,0.42452830188679247,0.42764857881136953,0.5736568457538995,0.47006369426751593,0.5271453590192645,0.4734866259971844,0.4708670197936995,0.4060031595576619,0.5266857589169488,0.4530938123752495,0.5711218464841653,0.5816135084427767,0.5903837263060563,0.5727496917385942,0.6375570776255708,0.5185185185185185,0.5224115334207077,0.5789473684210527,0.47103538663171696,0.505789603350579,0.5634339290946381,0.6610850636302746,0.4395727937043282,0.5366511399852905,0.6155455904334828,0.5015544041450777,0.5717671846194364,0.5959786365064405,0.5718527315914489,0.39787858271270593,0.5838926174496645,0.4981633229725912,0.5094726062467998,0.5645386116531921
20200429,indclass,indclass_NDVIre,0.5766268260292166,0.4889190411578472,0.7672955974842767,0.5059278974110815,0.5945132151221145,0.37671980781830094,0.5404814004376368,0.6687358916478555,0.4385297845373891,0.6988847583643123,0.626542180726909,0.49300060864272666,0.5900686740623349,0.36033402922755736,0.40293040293040294,0.6354475400118553,,,,,,,,,,,,,,,,,,,,,,,,,0.40458333333333335,0.5712663259511641,0.47399801258694935,0.6200607902735562,0.5204708290685772,0.48810572687224674,0.527764594209777,0.4596912521440824,0.5213064557285022,0.42591070939468634,0.5314443676572218,0.6684325334995326,0.3262779552715655,0.5317529997073456,0.45441795231416554,0.411394066684169,0.47742749054224465,0.6478458656676478,0.6586270871985157,0.6520210896309314,0.4044943820224719,0.3713163064833006,0.5995877351198146,0.6065223202352312,0.4679719089167908,0.4515366430260047,0.6561672063585516,0.39390671339983824,0.5044727568446734,0.4209297389089366,0.6176314391927774,0.5500253936008126,0.6150781489426908,0.4429744525547446,0.5682951146560319,0.5587577639751553,0.5277703246579017,0.4106678230702515,0.4408735063864854,0.6269626421223605,0.5195369030390738,0.5152439024390243,0.49900946511116,0.4706707830479933,0.47978032950574134,0.5083039758429794,0.4417952314165498,0.574025974025974,0.6235955056179775,0.5923876963930073,0.5813128326434063,0.6816816816816816,0.5145784081954295,0.5214597789771266,0.5948037589828634,0.4580228514654744,0.5283670448939318,0.5650496141124586,0.683193818415969,0.3935939196525516,0.5319249940659863,0.603000577034045,0.48876953124999994,0.6363163371488032,0.6225954198473282,0.5909090909090908,0.3880817014108233,0.6179419525065962,0.5203296703296704,0.5210995900651073,0.5582010582010581
20200429,indclass,indclass_NDII,0.04331728989263231,0.02703588399147962,0.2958462842610907,0.05152775266678725,0.1196467991169978,-0.007246376811594228,0.09886954961421145,0.09744168547780287,-0.037410291647579814,-0.03939886271324133,0.19560214778828947,0.053701657458563506,0.07381082558775284,0.019236934915036887,0.02285803141035616,0.22275096306367542,,,,,,,,,,,,,,,,,,,,,,,,,0.045880298460073084,0.05583972719522592,0.19632663191859023,0.10034476501542372,0.0883843122537061,0.016022938100860192,0.11030927835051542,-0.010551948051948073,0.02863476815074812,-0.005122143420015743,-0.017111567419575584,0.08896174863387975,-0.015466333385408561,0.051950851476611305,0.07332738626226588,-0.018664614200500262,0.03881362138410838,0.13593691325572663,0.11892941938268936,0.052008974097491376,0.01918158567774929,-0.03459821428571429,0.08934257351563961,0.12532833020637899,0.04201145767027376,0.03838771593090214,0.17153120790300858,-0.006711409395973149,0.007846214201647711,0.01792925214020352,0.10001862544235425,0.06420993858179783,0.042487046632124326,0.03071083505866121,0.04896626768226337,0.026978738609969632,0.0033923859781378974,0.01797752808988762,0.0642054574638845,0.1265508684863523,0.175152749490835,-0.09618573797678279,0.006410256410256416,0.0535143769968051,0.13472163195920103,0.04082357117500891,0.04055744148651062,0.10016914113888369,0.024301336573511564,0.06107341147439847,0.06446901731692048,0.10218978102189781,0.03934922436625045,0.05293691080493112,0.091127098321343,-0.015611296263813301,0.11675497898775805,0.05412880284472537,0.08344255133245962,-0.05077835433654555,0.08424148071267949,0.09926769731489012,0.018629173989455183,0.16471506635441063,0.11845002201673276,0.06561996779388081,-0.03354657512872526,0.04986098239110294,0.049485352335708624,0.0479914681834341,0.024461482292807632
20200429,indclass,indclass_PSRI,0.028615622583139946,0.017073170731707298,-0.1880597014925373,0.027590847913862668,-0.014428412874583747,0.07957244655581945,0.02861335289801908,-0.03162055335968382,0.029396857577293458,-0.013302034428794993,0.0011709601873536634,0.16304347826086957,0.007776049766718514,0.08158508158508165,0.05181918412348396,-0.037383177570093525,,,,,,,,,,,,,,,,,,,,,,,,,0.030945558739254947,0.004065040650406508,0.10331125827814572,0.00717703349282295,0.06170052671181339,0.04030373831775703,0.023480662983425413,0.05494505494505499,0.03755522827687771,0.040000000000000036,0.040703052728954685,-0.0753676470588236,0.07357212003872213,0.01711711711711711,0.03049967553536662,0.05132192846034222,0.049518569463548816,-0.040703052728954685,-0.061203319502074714,-0.005361930294906134,0.043663471778487825,0.21196358907672305,-0.004467609828741544,-0.03807947019867555,0.04833141542002304,0.04160887656033291,-0.04718875502008035,0.0588668138337012,0.0761421319796954,0.05731441048034924,-0.006420545746388516,0.033788641265276746,-0.011393514460999208,0.05027932960893852,-0.013071895424836675,0.026889534883720995,0.0021567217828899693,0.04414261460101868,0.016055045871559617,-0.042571676802780206,-0.18749999999999994,0.09338521400778207,0.009638554216867495,-0.004709576138147592,-0.057029177718832876,0.04613297150610584,0.06468646864686471,0.016444792482380614,0.0008417508417508659,0.02080856123662309,0.012244897959183685,-0.04549431321084867,0.04134165366614664,0.014295925661186575,0.00386697602474865,0.054485049833887036,-0.03612605687932357,0.035143769968051124,-0.013958125623130592,0.08928571428571427,0.02914001421464103,0.04364694471387007,0.057008718980550016,-0.0959595959595959,-0.02517623363544809,0.013991769547325162,0.062238493723849486,-0.014566642388929263,-0.011682242990654217,0.022321428571428593,0.04205607476635516
