Number of bins=76-Total frequency=30140100-Dimension sizes=[19, 2, 2]
z_center,tot_z,fcloud_z,fsnow_z,fnosnow_z
34,15397299,2285068,33000,13079231
135,5010807,1233095,28,3777684
236,3474247,613211,0,2861036
337,2104406,228055,0,1876351
438,924588,90437,0,834151
538,657363,101490,1,555872
639,477823,132822,0,345001
740,410879,158937,0,251942
841,567389,120283,0,447106
942,395821,86088,0,309733
1043,308569,73346,0,235223
1144,188849,59507,0,129342
1245,117204,53578,0,63626
1346,55208,33121,0,22087
1446,20970,16712,0,4258
1547,13012,10736,0,2276
1648,8585,7876,0,709
1749,5356,4594,0,762
1850,1725,1358,0,367
